"Designator","Value","Footprint","LCSC Part #"
"C1","470uF","Capacitor_SMD:CP_Elec_10x10.5","C248607"
"C2","220uF","Capacitor_SMD:CP_Elec_8x6.5","C2895286"
"C3,C4","100nF","Capacitor_SMD:C_0805_2012Metric","C49678"
"C5,C6","15pF","Capacitor_SMD:C_0402_1005Metric","C1548"
"C9,C11","10uF","Capacitor_SMD:C_0603_1608Metric","C109455"
"C10,C31,C39,C44","1uF","Capacitor_SMD:C_0402_1005Metric","C52923"
"C12,C13,C14,C15,C16,C28,C29,C30,C32,C33,C34,C35,C36,C38,C40,C41,C42,C43,C48,C49,C50,C51,C52,C54,C56","100nF","Capacitor_SMD:C_0402_1005Metric","C307331"
"C37,C45","10uF","Capacitor_SMD:C_0402_1005Metric","C15525"
"C46,C47","0.47uF","Capacitor_SMD:C_0402_1005Metric","C47339"
"C53","1nF","Capacitor_SMD:C_0402_1005Metric","C1523"
"C55","47uF","Capacitor_SMD:CP_Elec_5x5.3","C336270"
"D1","SS54","Diode_SMD:D_SMA","C22452"
"F1","1.5A","Fuse:Fuse_1210_3225Metric","C207048"
"J1","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C2977589"
"J3,J6,J7","Conn_01x02,Screw_Terminal_01x02,VIN_BARREL_PIGTAIL","Connector_JST:JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical","C265284"
"J4","Conn_01x07","Connector_JST:JST_ZH_B7B-ZR-SM4-TF_1x07-1MP_P1.50mm_Vertical","C265294"
"J8","Conn_01x04","Connector_JST:JST_ZH_B4B-ZR-SM4-TF_1x04-1MP_P1.50mm_Vertical","C265083"
"J9","Conn_01x03","Connector_JST:JST_ZH_B3B-ZR-SM4-TF_1x03-1MP_P1.50mm_Vertical","C489717"
"L1","33uH","Inductor_SMD:L_12x12mm_H8mm","C9400"
"R1","220","Resistor_SMD:R_0805_2012Metric","C17557"
"R2","33k","Resistor_SMD:R_0402_1005Metric","C25779"
"R5,R11","10k","Resistor_SMD:R_0402_1005Metric","C60490"
"R9","1k","Resistor_SMD:R_0402_1005Metric","C11702"
"R10","2.2k","Resistor_SMD:R_0402_1005Metric","C25879"
"SW1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"U1","LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","C347421"
"U2","DRV8871DDAR","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","C75864"
"U3","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"U4","W25Q16JVSSIQ","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","C131025"
"U5","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"U6","TLV320AIC3104IRHBR","Package_DFN_QFN:Texas_RHB0032E_VQFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","C181753"
"U7","XC6206P182MR","Package_TO_SOT_SMD:SOT-23","C347373"
"Y1","ABM8-272-T3","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C20625731"
