Quantity,Manufacturer Part Number,Manufacturer,Description,Reference,Package,JLCPCB Part,Assembly,Source,Verified
1,LM2596S-5.0(UMW),UMW,5V 3A Step-Down Regulator Fixed,U1,TO-263-5 (D2PAK),C347421,SMT,JLCPCB,Yes (99717 in stock)
1,SS54,MDD,Schottky Diode 5A 40V,D1,SMA (DO-214AC),C22452,SMT,JLCPCB,Yes (1470233 in stock)
1,CDRH127 33uH,Various,33uH 3A/5.5A Shielded Power Inductor,L1,SMD 12.3x12.3mm,C9400,SMT,JLCPCB,Yes (44740 in stock)
1,RVT1E681M1010,DMBJ,680uF 25V SMD Aluminum Electrolytic,C1,SMD D10xL10.2mm,C976031,SMT,JLCPCB,Yes (12651 in stock)
1,220uF 25V SMD,Various,220uF 25V SMD Aluminum Electrolytic,C2,SMD D8xL10.2mm,C2895286,SMT,JLCPCB,Yes (2864 in stock)
1,CC0805KRX7R9BB104,YAGEO,100nF 50V X7R MLCC,C3,0805,C49678,SMT,JLCPCB,Yes (13893007 in stock) Basic
1,0805W8F2200T5E,UNI-ROYAL,220 Ohm 1% 0805,R1,0805,C17557,SMT,JLCPCB,Yes (864653 in stock) Basic
1,DRV8871DDAR,Texas Instruments,3.6A H-Bridge Motor Driver,U2,SO-8-EP,C75864,SMT,JLCPCB,Yes (6376 in stock)
1,100mΩ 2W Alloy,Various,100mΩ 1% 2W Current Sense,R2,2512,C160587,SMT,JLCPCB,Yes (65255 in stock)
1,CC0805KRX7R9BB104,YAGEO,100nF 50V MLCC (DRV8871 decoupling),C4,0805,C49678,SMT,JLCPCB,Yes (same as C3)
1,RP2040,Raspberry Pi,Dual-core ARM Cortex-M0+ MCU,U3,QFN-56 (7x7mm),C2040,SMT,JLCPCB,Yes (extended part)
1,W25Q16JVSSIQ,Winbond,"W25Q16JVSSIQ, 16Mbit/2MB SPI NOR Flash",U4,SOIC-8,C131025,SMT,JLCPCB,Yes (extended part)
1,AMS1117-3.3,AMS,3.3V 1A LDO Regulator,U5,SOT-223,C6186,SMT,JLCPCB,Yes (basic part)
1,X322512MSB4SI,Yangxing Tech,12MHz Crystal 20pF 10ppm,Y1,3225 (3.2x2.5mm),C9002,SMT,JLCPCB,Yes (basic part)
2,CL05C220JB5NNNC,Samsung,22pF 50V C0G MLCC (crystal load),C5 C6,0402,C1555,SMT,JLCPCB,Yes (basic part)
2,CL05B102KB5NNNC,Samsung,1nF 50V X7R MLCC (USB filter),C7 C8,0402,C52923,SMT,JLCPCB,Yes (basic part)
3,CL05A106MQ5NUNC,Samsung,10uF 6.3V X5R MLCC (bulk bypass),C9 C10 C11,0402,C15525,SMT,JLCPCB,Yes (basic part)
5,CC0805KRX7R9BB104,YAGEO,100nF 50V MLCC (RP2040 bypass),C12 C13 C14 C15 C16,0805,C49678,SMT,JLCPCB,Yes (same as C3)
2,0402WGF270JTCE,UNI-ROYAL,27 Ohm 1% 0402 (USB series),R3 R4,0402,C25100,SMT,JLCPCB,Yes (basic part)
1,0402WGF1002TCE,UNI-ROYAL,10k Ohm 1% 0402 (RUN pullup),R5,0402,C25744,SMT,JLCPCB,Yes (basic part)
1,PJ-002A,CUI Devices,DC Barrel Jack 2.1x5.5mm,J3,THT,-,Hand solder,DigiKey,-
1,B7B-ZR(LF)(SN),JST,ZH 7-Pin Header 1.5mm Vertical,J4,THT,-,Hand solder,DigiKey,-
1,B2B-ZR(LF)(SN),JST,ZH 2-Pin Header 1.5mm Vertical,J6,THT,-,Hand solder,DigiKey,-
1,B4B-ZR(LF)(SN),JST,ZH 4-Pin Header 1.5mm Vertical,J8,THT,-,Hand solder,DigiKey,-
1,SM03B-SRSS-TB(LF)(SN),JST,SH 3-Pin Header 1.0mm Horizontal,J2,THT,-,Hand solder,DigiKey,-
1,1935161,Phoenix Contact,2-Pos Screw Terminal 5mm Pitch,J7,THT,-,Hand solder,DigiKey,-
1,SSW-120-02-G-D,Samtec,2x20 Female Header 2.54mm,J1,THT,-,Hand solder,DigiKey,-
1,Generic 2.54mm male header,Various,Breakaway pin headers (1x3),J9,THT,-,Hand solder,On hand,-
1,Generic 2.54mm male header,Various,Breakaway pin headers (1x2),J10,THT,-,Hand solder,On hand,-
1,TBD - 6x6mm tact switch with lever,TBD,Hook switch 8.6mm lever height,SW1,THT,-,Hand solder,TBD,-
3,M3 screws + standoffs,Various,M3 mounting hardware,H1 H2 H3,-,-,-,On hand,-
