Designator,Mid X,Mid Y,Rotation,Layer
A1,32.61,-29.015,180.0,top
C1,15.0,-50.5,180.0,top
C2,16.25,-33.5,180.0,top
C3,71.39,-8.3,0.0,top
D1,9.35,-41.0,0.0,top
J1,59.23,-27.61,0.0,bottom
J10,66.27,-10.29,0.0,top
J2,48.3,-52.125,0.0,top
J3,5.35,-12.125,270.0,top
J4,47.5,-34.0,270.0,top
J5,52.5,-43.19,0.0,top
J6,52.5,-32.55,0.0,top
J7,69.8675,-36.5,90.0,top
J8,68.75,-3.5,0.0,top
J9,64.5,-25.54,0.0,top
L1,4.5,-50.5,0.0,top
R1,50.5,-26.0,0.0,top
SW1,50.65,-19.75,0.0,top
U1,13.65,-23.1,0.0,top
