Designator,Footprint,Quantity,Value,LCSC Part #
BELL1,JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical,1,Screw_Terminal_01x02,C265284
C1,CP_Elec_10x10.5,1,470uF,C248607
"C10, C31, C39, C44",0402,4,1uF,C52923
C100,CAP-SMD_BD10.0-L10.3-W10.3-FD,1,100uF,C28241
C101,0805,1,1uF,C105952
"C11, C9",0603,2,10uF,C109455
"C12, C13, C14, C15, C16, C28, C29, C30, C32, C33, C34, C35, C36, C38, C40, C41, C42, C43, C48, C49, C50, C51, C52, C54",0402,24,100nF,C307331
"C3, C4",0805,2,100nF,C49678
"C37, C45",0402,2,10uF,C15525
"C46, C47",0402,2,0.47uF,C47339
"C5, C6",0402,2,15pF,C1548
C53,0402,1,1nF,C1523
C55,CP_Elec_5x5.3,1,10uF,C116402
D10,SMA_L4.3-W2.6-LS5.2-RD,1,SS56,C65009
D2,0603,1,LED_RED,C2286
D3,0603,1,LED_GREEN,C2289
F1,1210,1,1.5A,C207048
J8,JST_ZH_B4B-ZR-SM4-TF_1x04-1MP_P1.50mm_Vertical,1,Conn_01x04,C265083
KEYPAD1,JST_ZH_B7B-ZR-SM4-TF_1x07-1MP_P1.50mm_Vertical,1,Conn_01x07,C265294
L10,IND-SMD_L12.3-W12.3,1,47uH,C9906
LED1,JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical,1,Conn_01x02,C265284
PI_ZERO_W1,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C2977589
PWR1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,VIN_BARREL_PIGTAIL,C158012
R1,0805,1,220,C17557
R10,0402,1,2.2k,C25879
"R11, R5",0402,2,10k,C60490
R12,0402,1,300,C25102
R13,0402,1,120,C25079
R2,0402,1,33k,C25779
R20,0402,1,57.6k,C26983
R21,0402,1,2k,C4109
R9,0402,1,1k,C11702
SW1,SW_DPDT_Hook_24.2x17.1mm,1,Hook_DPDT,
SW2,SW_PUSH_6mm,1,SW_Push,C87036
U10,TO-263-5_L10.2-W9.9-P1.70-LS14.4-TL,1,XL6019E1,C73018
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,DRV8871DDAR,C75864
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSSIQ,C131025
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U6,Texas_RHB0032E_VQFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,TLV320AIC3104IRHBR,C181753
U7,SOT-23,1,XC6206P182MR,C347373
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
